Nation,Site,Line
Korea,평택1단지,P1
Korea,평택1단지,P2
Korea,평택1단지,P3
Korea,평택1단지,P4
Korea,평택2단지,P5
Korea,평택2단지,P6
Korea,화성,10L
Korea,화성,11L
Korea,화성,12L
Korea,화성,13L
Korea,화성,MR2
Korea,화성,15L
Korea,화성,16L
Korea,화성,17L
Korea,화성,V1L
Korea,화성,S3-V
Korea,기흥,1L
Korea,기흥,2L
Korea,기흥,3L
Korea,기흥,4-5L
Korea,기흥,6-7L
Korea,기흥,8-9L
Korea,기흥,S1L(14L)
Korea,수원,
Korea,천안,
Korea,탕정,A4-2
Korea,탕정,C5
Korea,탕정,S1L
Korea,탕정,8D
Korea,아산,
Korea,온양,
China,서안,X1
China,서안,X2
China,서안,M
China,서안,1공장 
China,천진,원형라인
USA,오스틴,FAB1
USA,오스틴,FAB2
USA,오스틴,SAS Retrofit PJT
USA,오스틴,SAS STAR PJT
USA,오스틴,SDIHU PJT
Hungary,괴드,
India,노이다,
Turkey,Veliköy,무선동 REMODELING
Malaysia,Seremban,4공장 
Vietram,SEVT,
Vietram,SEV,
Vietram,SDV,
Philippines,,